,0,1,2,3
579,1.09,4.01,0.06,0.87
580,0.94,0.62,0.21,2.33
581,0.5,1.45,0.0,1.06
582,4.63,4.2,0.08,3.26
583,1.27,1.67,0.13,1.45
584,4.93,5.0,0.33,5.0
585,1.13,2.43,0.0,1.08
586,1.17,0.82,0.12,1.68
587,0.48,5.0,0.16,2.1
588,1.16,3.1,0.0,1.74
589,1.34,1.44,0.19,1.54
590,0.92,4.05,0.23,1.95
591,1.79,0.37,0.0,1.53
592,1.0,3.8,0.37,0.61
593,4.01,5.0,0.46,5.0
594,1.3,4.46,0.0,1.24
595,5.0,3.98,0.0,5.0
596,0.86,4.92,0.31,3.28
597,2.1,3.98,0.18,1.62
598,3.47,3.49,0.07,1.3
599,0.76,4.05,0.0,2.33
600,0.98,2.84,0.0,2.4
601,0.94,1.45,0.0,0.72
602,0.94,1.1,0.23,0.94
603,0.84,1.51,0.22,0.19
604,0.91,1.54,0.05,1.07
605,1.51,0.54,0.05,0.52
606,1.8,0.76,0.0,0.8
607,0.72,1.33,0.0,1.24
608,5.0,5.0,0.34,2.93
609,2.51,5.0,0.0,5.0
610,1.09,1.08,0.0,0.45
611,1.67,0.92,0.0,0.73
612,0.81,2.68,0.24,3.06
613,0.47,1.7,0.69,2.79
614,1.73,3.62,0.0,2.18
615,1.2,0.89,0.0,1.12
616,0.73,2.34,0.0,2.47
617,1.82,1.26,0.06,1.17
618,3.76,5.0,0.0,2.66
619,1.77,1.07,0.42,0.18
620,0.65,3.06,0.06,3.11
621,0.84,1.37,0.07,0.87
622,1.14,1.14,0.0,2.59
623,0.82,5.0,0.0,1.36
624,0.0,1.91,3.89,1.14
625,0.2,0.0,2.25,0.88
626,0.0,4.72,0.0,5.0
627,0.63,4.79,0.0,5.0
628,0.22,3.84,0.14,5.0
629,0.76,5.0,0.35,5.0
630,0.05,4.34,0.0,4.62
631,0.09,4.57,0.09,5.0
632,0.0,5.0,0.01,5.0
633,0.07,4.85,0.13,5.0
634,0.0,5.0,0.03,4.5
635,0.0,4.76,0.11,5.0
636,0.0,5.0,0.61,4.92
637,0.29,4.98,0.47,4.77
638,0.0,5.0,0.0,4.96
639,0.0,4.96,0.0,5.0
640,0.0,5.0,0.55,5.0
641,0.0,4.83,0.0,5.0
642,0.0,4.71,0.7,5.0
643,0.0,5.0,0.23,5.0
644,0.0,4.95,0.0,4.95
645,0.6,5.0,0.0,4.84
646,0.0,4.87,0.0,4.86
647,0.0,5.0,0.0,5.0
648,0.0,5.0,0.0,4.59
649,0.0,5.0,0.0,5.0
650,0.13,5.0,0.18,5.0
651,0.0,4.18,0.0,4.85
652,0.0,4.98,0.41,5.0
653,0.0,4.66,0.0,4.91
654,0.0,4.84,0.27,4.91
655,0.67,5.0,0.0,4.85
656,0.0,4.94,0.0,4.41
